symbol,date,price
ABBV,2022/01/31,131.87
ACN,2022/01/31,348.301
AEP,2022/01/31,86.601
AIZ,2022/01/31,149.851
ALLE,2022/01/31,120.808
AMAT,2022/01/31,136.91
AMP,2022/01/31,298.157
AMZN,2022/01/31,149.574
AVB,2022/01/31,236.358
AVY,2022/01/31,202.11
AXP,2022/01/31,177.348
BDX,2022/01/31,244.561
BF-B,2022/01/31,66.695
BMY,2022/01/31,62.898
BR,2022/01/31,156.302
CARR,2022/01/31,46.897
CDW,2022/01/31,186.812
CE,2022/01/31,151.351
CHTR,2022/01/31,593.34
CNC,2022/01/31,77.76
CNP,2022/01/31,27.522
COP,2022/01/31,84.07
CTAS,2022/01/31,386.487
CZR,2022/01/31,76.14
DG,2022/01/31,206.572
DPZ,2022/01/31,449.256
DRE,2022/01/31,56.905
DXC,2022/01/31,30.08
EWA,2022/01/31,21.735
EWC,2022/01/31,37.366
EWG,2022/01/31,31.066
EWH,2022/01/31,23.05
EWJ,2022/01/31,63.321
EWL,2022/01/31,48.363
EWQ,2022/01/31,36.698
EWT,2022/01/31,55.024
EWU,2022/01/31,32.795
EWY,2022/01/31,71.523
EWZ,2022/01/31,28.109
FTV,2022/01/31,70.226
GOOG,2022/01/31,135.698
GPC,2022/01/31,130.012
GSG,2022/01/31,19.12
HIG,2022/01/31,70.282
HIGH.L,2022/01/31,5.419
HST,2022/01/31,16.997
HYG,2022/01/31,80.129
IAU,2022/01/31,34.22
ICLN,2022/01/31,18.59
IEAA.L,2022/01/31,5.26
IEF,2022/01/31,110.486
IEFM.L,2022/01/31,768.5
IEMG,2022/01/31,58.087
IEUS,2022/01/31,63.153
IEVL.L,2022/01/31,7.518
IGF,2022/01/31,46.082
INDA,2022/01/31,45.87
IUMO.L,2022/01/31,11.15
IUVL.L,2022/01/31,9.168
IVV,2022/01/31,444.651
IWM,2022/01/31,198.372
IXN,2022/01/31,59.104
JPEA.L,2022/01/31,5.76
JPM,2022/01/31,143.854
KR,2022/01/31,42.506
LQD,2022/01/31,123.851
MCHI,2022/01/31,61.334
META,2022/01/31,313.26
MVEU.L,2022/01/31,53.73
OGN,2022/01/31,30.776
PG,2022/01/31,156.426
PPL,2022/01/31,28.75
PRU,2022/01/31,106.638
PYPL,2022/01/31,171.94
RE,2022/01/31,276.991
REET,2022/01/31,27.996
ROL,2022/01/31,30.371
ROST,2022/01/31,96.448
SEGA.L,2022/01/31,107.112
SHY,2022/01/31,83.707
SLV,2022/01/31,20.8
SPMV.L,2022/01/31,79.22
TLT,2022/01/31,138.757
UNH,2022/01/31,466.594
URI,2022/01/31,319.076
