id	Class 1 (avg. correlation)	Class 2 (connection score)
cd597d34	4.Disconnected	4.Disconnected
38c7fc7b	4.Disconnected	4.Disconnected
08986844	4.Disconnected	4.Disconnected
b17cd734	5.Opposite Connection	5.Opposite Connection
db21f28b	3.Weakly Connected	3.Weakly Connected
1d3cd369	4.Disconnected	4.Disconnected
b1002bc9	2.Connected	2.Connected
dd543bd7	4.Disconnected	4.Disconnected
71b47b97	4.Disconnected	4.Disconnected
bc4b0314	4.Disconnected	4.Disconnected
d707cb75	4.Disconnected	4.Disconnected
cfd8f183	2.Connected	3.Weakly Connected
bc9c8c4c	NA	NA
787d2872	1.Well Connected	1.Well Connected
9b7bb959	1.Well Connected	4.Disconnected
b57b89cd	NA	NA
2b8b032c	1.Well Connected	2.Connected
d5c78bbc	NA	NA
3d227c13	NA	NA
bbb3c357	1.Well Connected	1.Well Connected
b5188797	4.Disconnected	4.Disconnected
d252b0cc	2.Connected	3.Weakly Connected
b3bbdb72	1.Well Connected	1.Well Connected
d874631c	1.Well Connected	2.Connected
1374c1f1	4.Disconnected	4.Disconnected
644389bc	4.Disconnected	4.Disconnected
15db49cb	NA	NA
b2b1cbc6	NA	NA
2c78c015	NA	NA
2c1cbbbf	NA	NA
3653df28	NA	NA
2d729675	NA	NA
76fcf359	NA	NA
d04974fb	NA	NA
dd8bb8b0	NA	NA
880fbc83	NA	NA
32cdcc24	NA	NA
34cf2f3f	NA	NA
916fdfd9	1.Well Connected	2.Connected
6193fbd1	NA	NA
917cb964	1.Well Connected	1.Well Connected
b4dd7019	2.Connected	3.Weakly Connected
c674f84b	3.Weakly Connected	3.Weakly Connected
f8fbd1bf	4.Disconnected	3.Weakly Connected
3900b673	5.Opposite Connection	5.Opposite Connection
4b556c23	5.Opposite Connection	5.Opposite Connection
31bb28c9	2.Connected	3.Weakly Connected
ccb2bfb9	1.Well Connected	1.Well Connected
cf2d56c6	1.Well Connected	3.Weakly Connected
cd4803dc	1.Well Connected	1.Well Connected
d10b6093	NA	NA
1995b9c2	NA	NA
5004c81c	1.Well Connected	1.Well Connected
5c0347cc	4.Disconnected	4.Disconnected
d64f73c2	NA	NA
c53b3306	4.Disconnected	4.Disconnected
1bdff261	2.Connected	2.Connected
bfd7c457	5.Opposite Connection	4.Disconnected
3b28f32c	5.Opposite Connection	4.Disconnected
c261b5c3	1.Well Connected	1.Well Connected
d50c10cd	1.Well Connected	3.Weakly Connected
5ff2c089	2.Connected	2.Connected
7830dcbb	1.Well Connected	1.Well Connected
47dd8149	4.Disconnected	4.Disconnected
bccf94bb	4.Disconnected	4.Disconnected
7cb34dbb	4.Disconnected	4.Disconnected
ccbb0fd2	5.Opposite Connection	5.Opposite Connection
5c7bb709	5.Opposite Connection	4.Disconnected
b681845b	4.Disconnected	4.Disconnected
91716b78	4.Disconnected	4.Disconnected
b875c91c	4.Disconnected	4.Disconnected
7589718c	5.Opposite Connection	4.Disconnected
bbf60ff1	3.Weakly Connected	4.Disconnected
3cd1929f	4.Disconnected	4.Disconnected
6954b3b1	1.Well Connected	1.Well Connected
611c19d0	2.Connected	4.Disconnected
1cd83ccc	5.Opposite Connection	5.Opposite Connection
dfb3c499	2.Connected	3.Weakly Connected
856618c2	NA	NA
9bf7ccb3	1.Well Connected	1.Well Connected
07c9170b	2.Connected	4.Disconnected
3bdbc3c0	4.Disconnected	4.Disconnected
872bdbc9	1.Well Connected	3.Weakly Connected
b3d7dbc2	1.Well Connected	1.Well Connected
b6b963b5	NA	NA
2f030cc5	NA	NA
f250dfc3	1.Well Connected	3.Weakly Connected
8c90882c	3.Weakly Connected	4.Disconnected
b42b1297	1.Well Connected	4.Disconnected
515b11f9	3.Weakly Connected	4.Disconnected
921f735d	4.Disconnected	4.Disconnected
39b9b3b1	4.Disconnected	4.Disconnected
5fbf807c	NA	NA
59405297	1.Well Connected	1.Well Connected
48cf320f	1.Well Connected	1.Well Connected
dd807d74	3.Weakly Connected	3.Weakly Connected
89c29b7d	1.Well Connected	1.Well Connected
1240bcc8	5.Opposite Connection	5.Opposite Connection
87852799	1.Well Connected	1.Well Connected
d562f28c	1.Well Connected	1.Well Connected
f067b9f5	NA	NA
203bb693	4.Disconnected	4.Disconnected
0102b20c	5.Opposite Connection	5.Opposite Connection
c8f498d2	1.Well Connected	2.Connected
dcc4c022	1.Well Connected	2.Connected
d9bc9425	2.Connected	2.Connected
4cb8b66c	5.Opposite Connection	5.Opposite Connection
dcc0145b	1.Well Connected	1.Well Connected
c9b02591	1.Well Connected	2.Connected
d18b809d	2.Connected	3.Weakly Connected
380c6343	2.Connected	3.Weakly Connected
2b6cb11d	1.Well Connected	2.Connected
9ddb66b4	1.Well Connected	2.Connected
0b1bfb9c	1.Well Connected	1.Well Connected
5fc3bcc4	4.Disconnected	5.Opposite Connection
14cbb019	4.Disconnected	5.Opposite Connection
60b1d9cc	2.Connected	2.Connected
fb07c974	1.Well Connected	1.Well Connected
b974c16c	NA	NA
c3b8d4fc	1.Well Connected	2.Connected
f5d74bfb	1.Well Connected	1.Well Connected
41c16cc4	1.Well Connected	1.Well Connected
22dcdc75	1.Well Connected	1.Well Connected
3862cc83	2.Connected	2.Connected
538b0bb5	NA	NA
6133c0d7	1.Well Connected	1.Well Connected
ffbf60c3	1.Well Connected	1.Well Connected
bc8c2b83	5.Opposite Connection	5.Opposite Connection
5f3cc21b	1.Well Connected	2.Connected
66752bbc	2.Connected	4.Disconnected
c29fbf4f	2.Connected	3.Weakly Connected
84d63b80	1.Well Connected	4.Disconnected
2bc96665	1.Well Connected	4.Disconnected
8c13bdf6	1.Well Connected	3.Weakly Connected
6f6dc500	3.Weakly Connected	4.Disconnected
c34d255b	5.Opposite Connection	4.Disconnected
b4977cb7	1.Well Connected	1.Well Connected
2ddbfd56	3.Weakly Connected	3.Weakly Connected
939398bd	1.Well Connected	1.Well Connected
dfcb064c	5.Opposite Connection	5.Opposite Connection
656bb49c	1.Well Connected	1.Well Connected
0509c220	5.Opposite Connection	5.Opposite Connection
78cc44f1	1.Well Connected	1.Well Connected
0db5fc0c	3.Weakly Connected	3.Weakly Connected
c47b9db1	1.Well Connected	1.Well Connected
9078bb5f	5.Opposite Connection	5.Opposite Connection
db442696	5.Opposite Connection	5.Opposite Connection
b4264c50	1.Well Connected	2.Connected
30c5c41c	5.Opposite Connection	5.Opposite Connection
47dc617b	1.Well Connected	2.Connected
96609938	2.Connected	4.Disconnected
66c4f4fd	1.Well Connected	2.Connected
90d29bb6	1.Well Connected	1.Well Connected
