ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.2,0.2,0.2,0.2,0.2,0.01
ACN,0.2,0.2,0.2,0.2,0.2,0.01
AEP,0.2,0.2,0.2,0.2,0.2,0.01
AIZ,0.2,0.2,0.2,0.2,0.2,0.01
ALLE,0.2,0.2,0.2,0.2,0.2,0.01
AMAT,0.2,0.2,0.2,0.2,0.2,0.01
AMP,0.2,0.2,0.2,0.2,0.2,0.01
AMZN,0.2,0.2,0.2,0.2,0.2,0.01
AVB,0.2,0.2,0.2,0.2,0.2,0.01
AVY,0.2,0.2,0.2,0.2,0.2,0.01
AXP,0.2,0.2,0.2,0.2,0.2,0.01
BDX,0.2,0.2,0.2,0.2,0.2,0.01
BF-B,0.2,0.2,0.2,0.2,0.2,0.01
BMY,0.2,0.2,0.2,0.2,0.2,0.01
BR,0.2,0.2,0.2,0.2,0.2,0.01
CARR,0.2,0.2,0.2,0.2,0.2,0.01
CDW,0.2,0.2,0.2,0.2,0.2,0.01
CE,0.2,0.2,0.2,0.2,0.2,0.01
CHTR,0.2,0.2,0.2,0.2,0.2,0.01
CNC,0.2,0.2,0.2,0.2,0.2,0.01
CNP,0.2,0.2,0.2,0.2,0.2,0.01
COP,0.2,0.2,0.2,0.2,0.2,0.01
CTAS,0.2,0.2,0.2,0.2,0.2,0.01
CZR,0.2,0.2,0.2,0.2,0.2,0.01
DG,0.2,0.2,0.2,0.2,0.2,0.01
DPZ,0.2,0.2,0.2,0.2,0.2,0.01
DRE,0.2,0.2,0.2,0.2,0.2,0.01
DXC,0.2,0.2,0.2,0.2,0.2,0.01
FB,0.2,0.2,0.2,0.2,0.2,0.01
FTV,0.2,0.2,0.2,0.2,0.2,0.01
GOOG,0.2,0.2,0.2,0.2,0.2,0.01
GPC,0.2,0.2,0.2,0.2,0.2,0.01
HIG,0.2,0.2,0.2,0.2,0.2,0.01
HST,0.2,0.2,0.2,0.2,0.2,0.01
JPM,0.2,0.2,0.2,0.2,0.2,0.01
KR,0.2,0.2,0.2,0.2,0.2,0.01
OGN,0.2,0.2,0.2,0.2,0.2,0.01
PG,0.2,0.2,0.2,0.2,0.2,0.01
PPL,0.2,0.2,0.2,0.2,0.2,0.01
PRU,0.2,0.2,0.2,0.2,0.2,0.01
PYPL,0.2,0.2,0.2,0.2,0.2,0.01
RE,0.2,0.2,0.2,0.2,0.2,0.01
ROL,0.2,0.2,0.2,0.2,0.2,0.01
ROST,0.2,0.2,0.2,0.2,0.2,0.01
UNH,0.2,0.2,0.2,0.2,0.2,0.01
URI,0.2,0.2,0.2,0.2,0.2,0.01
V,0.2,0.2,0.2,0.2,0.2,0.01
VRSK,0.2,0.2,0.2,0.2,0.2,0.01
WRK,0.2,0.2,0.2,0.2,0.2,0.01
XOM,0.2,0.2,0.2,0.2,0.2,0.01
IVV,0.2,0.2,0.2,0.2,0.2,0.01
IWM,0.2,0.2,0.2,0.2,0.2,0.01
